Name,URL,Query,Rating,Reviews,Phone,Address,Website
Offbeat Bikes,https://www.google.com/maps/place/Offbeat+Bikes/data=!4m7!3m6!1s0x880fd34bf266577d:0x7ad67ca317ee644e!8m2!3d41.9318753!4d-87.7051512!16s%2Fg%2F11gwmbq0mr!19sChIJfVdm8kvTD4gRTmTuF6N81no?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.8,38,-,-,-
EZ Rider Bike Shop,https://www.google.com/maps/place/EZ+Rider+Bike+Shop/data=!4m7!3m6!1s0x880fd3c16467f393:0x37bd21cead2b732b!8m2!3d41.9272185!4d-87.6417037!16s%2Fg%2F11y7h87jh3!19sChIJk_NnZMHTD4gRK3Mrrc4hvTc?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,5.0,21,-,-,-
eBikeling,https://www.google.com/maps/place/eBikeling/data=!4m7!3m6!1s0x880e4ab822b75f23:0xa505e87c63b2d22a!8m2!3d41.8675651!4d-87.7665557!16s%2Fg%2F1q5hrkrhb!19sChIJI1-3IrhKDogRKtKyY3zoBaU?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.5,137,-,-,-
Beverly Bicycle Shop,https://www.google.com/maps/place/Beverly+Bicycle+Shop/data=!4m7!3m6!1s0x880e255cb2be43e5:0xb2abf581546d5486!8m2!3d41.727475!4d-87.681979!16s%2Fg%2F1tzgpt2m!19sChIJ5UO-slwlDogRhlRtVIH1q7I?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.4,95,-,-,-
Igor Does My Bike,https://www.google.com/maps/place/Igor+Does+My+Bike/data=!4m7!3m6!1s0x880fd136d3f4e1f1:0x66fec23fb50ee4b0!8m2!3d41.981583!4d-87.6602361!16s%2Fg%2F11y2nkr98g!19sChIJ8eH00zbRD4gRsOQOtT_C_mY?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.9,118,-,-,-
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880e2cc0a2b0adb9:0x35f217329876cd6d!8m2!3d41.8792551!4d-87.639904!16s%2Fg%2F1pt_3znfm!19sChIJua2wosAsDogRbc12mDIX8jU?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.7,6,-,-,-
Bike Rental,https://www.google.com/maps/place/Bike+Rental/data=!4m7!3m6!1s0x880e2b53bdd5fc1f:0x1fcfed1565ab3295!8m2!3d41.8914392!4d-87.6117908!16s%2Fg%2F11c0rbgxwl!19sChIJH_zVvVMrDogRlTKrZRXtzx8?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,1.9,31,-,-,-
Village Cycle Center,https://www.google.com/maps/place/Village+Cycle+Center/data=!4m7!3m6!1s0x880fd34669518bcd:0x232baab50439fd74!8m2!3d41.906806!4d-87.634425!16s%2Fg%2F1tfh_5nt!19sChIJzYtRaUbTD4gRdP05BLWqKyM?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.4,350,-,-,-
5600 Bikes and Frames,https://www.google.com/maps/place/5600+Bikes+and+Frames/data=!4m7!3m6!1s0x880fd1faf865b7bf:0x35aaaeed1d959f66!8m2!3d41.9832705!4d-87.6896215!16s%2Fg%2F12lkdx0vp!19sChIJv7dl-PrRD4gRZp-VHe2uqjU?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,3.4,60,-,-,-
Heritage Bikes & Coffee,https://www.google.com/maps/place/Heritage+Bikes+%26+Coffee/data=!4m7!3m6!1s0x880fd255ff826f05:0xfb80f7098d14d566!8m2!3d41.935669!4d-87.662861!16s%2Fg%2F1td540lc!19sChIJBW-C_1XSD4gRZtUUjQn3gPs?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.7,387,-,-,-
